Date,Close/Last,Volume,Open,High,Low,Adjusted Close
11/13/2023,92.86,N/A,92.86,92.86,92.86,92.86
11/10/2023,92.726,N/A,92.726,92.726,92.726,92.726
11/09/2023,92.715,N/A,92.715,92.715,92.715,92.715
11/08/2023,92.717,N/A,92.717,92.717,92.717,92.717
11/07/2023,92.708,N/A,92.708,92.708,92.708,92.708
11/06/2023,92.882,N/A,92.882,92.882,92.882,92.882
11/03/2023,92.792,N/A,92.792,92.792,92.792,92.792
11/02/2023,92.474,N/A,92.474,92.474,92.474,92.474
11/01/2023,92.423,N/A,92.423,92.423,92.423,92.423
10/31/2023,92.363,N/A,92.363,92.363,92.363,92.363
10/30/2023,92.363,N/A,92.363,92.363,92.363,92.363
10/27/2023,92.461,N/A,92.461,92.461,92.461,92.461
10/26/2023,92.459,N/A,92.459,92.459,92.459,92.459
10/25/2023,92.429,N/A,92.429,92.429,92.429,92.429
10/24/2023,92.46,N/A,92.46,92.46,92.46,92.46
10/23/2023,92.576,N/A,92.576,92.576,92.576,92.576
10/20/2023,92.615,N/A,92.615,92.615,92.615,92.615
10/19/2023,92.663,N/A,92.663,92.663,92.663,92.663
10/18/2023,92.638,N/A,92.638,92.638,92.638,92.638
10/17/2023,92.62,N/A,92.62,92.62,92.62,92.62
10/16/2023,92.538,N/A,92.538,92.538,92.538,92.538
10/13/2023,92.397,N/A,92.397,92.397,92.397,92.397
10/12/2023,92.368,N/A,92.368,92.368,92.368,92.368
10/11/2023,92.551,N/A,92.551,92.551,92.551,92.551
10/10/2023,92.101,N/A,92.101,92.101,92.101,92.101
10/09/2023,92.075,N/A,92.075,92.075,92.075,92.075
10/06/2023,91.987,N/A,91.987,91.987,91.987,91.987
10/05/2023,91.992,N/A,91.992,91.992,91.992,91.992
10/04/2023,91.917,N/A,91.917,91.917,91.917,91.917
10/03/2023,92.054,N/A,92.054,92.054,92.054,92.054
10/02/2023,92.193,N/A,92.193,92.193,92.193,92.193
09/29/2023,92.377,N/A,92.377,92.377,92.377,92.377
09/28/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/27/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/26/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/25/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/22/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/21/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/20/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/19/2023,92.614,N/A,92.614,92.614,92.614,92.614
09/18/2023,92.606,N/A,92.606,92.606,92.606,92.606
09/15/2023,92.904,N/A,92.904,92.904,92.904,92.904
09/14/2023,92.82,N/A,92.82,92.82,92.82,92.82
09/13/2023,92.801,N/A,92.801,92.801,92.801,92.801
